"zip"|"type"|"state"|"county"|"country"|"latitude"|"longitude"|"irs_estimated_population"
"01107"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.12"|"-72.61"|"8170"
"01108"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.08"|"-72.56"|"22420"
"01109"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"22080"
"01111"|"UNIQUE"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"0"
"01115"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"25"
"01116"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.04"|"-72.57"|"82"
"01118"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.09"|"-72.53"|"13060"
"01119"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.12"|"-72.51"|"10910"
"01128"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.09"|"-72.49"|"2560"
"01129"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.12"|"-72.49"|"6490"
"01133"|"UNIQUE"|"MA"|"Hampden County"|"US"|"42.1"|"-72.59"|"0"
"01138"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"688"
"01139"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"467"
"01144"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"0"
"01151"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.15"|"-72.51"|"7700"
